Date,PE Ratio,Revenue_Amount(Millions)
2015-03-31,0.0,$24
2015-06-30,0.0,$30
2015-09-30,0.0,$32
2015-12-31,0.0,$37
2016-03-31,0.0,$33
2016-06-30,0.0,$28
2016-09-30,0.0,$30
2016-12-31,0.0,$28
2017-03-31,0.0,$23
2017-06-30,0.0,$25
2017-09-30,0.0,$27
2017-12-31,0.0,$36
2018-03-31,0.0,$23
2018-06-30,0.0,$22
2018-09-30,0.0,$24
2018-12-31,0.0,$36
2019-03-31,0.0,$28
2019-06-30,0.0,$30
2019-09-30,0.0,$35
2019-12-31,0.0,$47
2020-03-31,0.0,$28
2020-06-30,0.0,$25
2020-09-30,0.0,$24
2020-12-31,0.0,$23
2021-03-31,0.0,$28
2021-06-30,0.0,$32
2021-09-30,0.0,$30
2021-12-31,0.0,$31
2022-03-31,0.0,$38
2022-07-08,0.0,$38
