Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,0.0,$11
2010-03-31,0.0,$12
2010-06-30,0.0,$12
2010-09-30,0.0,$12
2010-12-31,429.99,$11
2011-03-31,220.6,$11
2011-06-30,202.0,$12
2011-09-30,362.0,$11
2011-12-31,0.0,$11
2012-03-31,0.0,$11
2012-06-30,0.0,$11
2012-09-30,0.0,$9
2012-12-31,0.0,$10
2013-03-31,0.0,$9
2013-06-30,0.0,$10
2013-09-30,0.0,$9
2013-12-31,0.0,$9
2014-03-31,0.0,$9
2014-06-30,0.0,$10
2014-09-30,0.0,$9
2014-12-31,0.0,$9
2015-03-31,0.0,$9
2015-06-30,0.0,$9
2015-09-30,0.0,$8
2015-12-31,0.0,$9
2016-03-31,0.0,$9
2016-06-30,0.0,$10
2016-09-30,0.0,$8
2016-12-31,0.0,$8
2017-03-31,0.0,$9
2017-06-30,0.0,$8
2017-09-30,0.0,$8
2017-12-31,0.0,$9
2018-03-31,0.0,$8
2018-06-30,0.0,$9
2018-09-30,0.0,$7
2018-12-31,0.0,$8
2019-03-31,0.0,$8
2019-06-30,0.0,$8
2019-09-30,0.0,$8
2019-12-31,0.0,$7
2020-03-31,0.0,$8
2020-06-30,0.0,$9
2020-09-30,0.0,$10
2020-12-31,97.4,$11
2021-03-31,158.0,$8
2021-06-30,9.93,$7
2021-09-30,32.86,$7
2021-12-31,0.0,$7
2022-03-31,0.0,$7
2022-07-08,0.0,$7
