Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,0.0,$3
2010-03-31,0.0,$3
2010-06-30,0.0,$3
2010-09-30,0.0,$3
2010-12-31,0.0,$3
2011-03-31,0.0,$3
2011-06-30,0.0,$3
2011-09-30,0.0,$1
2011-12-31,0.0,$13
2012-03-31,0.0,$13
2012-06-30,0.0,$0
2012-09-30,0.0,$10
2012-12-31,0.0,$-1
2013-03-31,0.0,$-6
2013-06-30,0.0,$0
2013-09-30,0.0,$0
2013-12-31,0.0,$6
2014-03-31,0.0,$0
2014-06-30,0.0,$0
2014-09-30,0.0,$0
2014-12-31,0.0,$4
2015-03-31,0.0,$4
2015-06-30,0.0,$4
2015-09-30,0.0,$4
2015-12-31,0.0,$4
2016-03-31,0.0,$4
2016-06-30,0.0,$4
2016-09-30,0.0,$4
2016-12-31,0.0,$4
2017-03-31,0.0,$0
2017-06-30,0.0,$8
2017-09-30,0.0,$0
2017-12-31,0.0,$5
2018-03-31,0.0,$0
2018-06-30,0.0,$0
2018-09-30,0.0,$0
2018-12-31,0.0,$17
2019-03-31,0.0,$2
2019-06-30,0.0,$2
2019-09-30,0.0,$4
2019-12-31,0.0,$9
2020-03-31,0.0,$8
2020-06-30,0.0,$9
2020-09-30,0.0,$14
2020-12-31,0.0,$16
2021-03-31,0.0,$16
2021-06-30,0.0,$57
2021-09-30,0.0,$24
2021-12-31,0.0,$32
2022-03-31,0.0,$25
2022-07-08,0.0,$25
