Date,PE Ratio,Revenue_Amount(Millions)
2015-03-31,0.0,$20
2015-06-30,0.0,$7
2015-09-30,0.0,$11
2015-12-31,0.0,$4
2016-03-31,0.0,$18
2016-06-30,0.0,$5
2016-09-30,0.0,$19
2016-12-31,0.0,$6
2017-03-31,0.0,$3
2017-06-30,0.0,$4
2017-09-30,0.0,$4
2017-12-31,0.0,$5
2018-03-31,0.0,$8
2018-06-30,0.0,$23
2018-09-30,0.0,$13
2018-12-31,0.0,$16
2019-03-31,0.0,$5
2019-06-30,0.0,$26
2019-09-30,0.0,$12
2019-12-31,0.0,$29
2020-03-31,0.0,$20
2020-06-30,0.0,$15
2020-09-30,0.0,$18
2020-12-31,0.0,$19
2021-03-31,0.0,$14
2021-06-30,0.0,$13
2021-09-30,0.0,$13
2021-12-31,0.0,$15
2022-03-31,0.0,$13
2022-07-08,0.0,$13
