Date,PE Ratio,Revenue_Amount(Millions)
2011-11-30,0.0,$7
2012-02-29,0.0,$8
2012-05-31,0.0,$9
2012-08-31,0.0,$5
2012-11-30,0.0,$6
2013-02-28,0.0,$5
2013-05-31,0.0,$4
2013-08-31,0.0,$3
2013-11-30,0.0,$3
2014-02-28,0.0,$4
2014-05-31,0.0,$5
2014-08-31,0.0,$2
2014-11-30,0.0,$3
2015-02-28,0.0,$5
2015-05-31,0.0,$4
2015-08-31,0.0,$3
2015-11-30,0.0,$3
2016-02-29,0.0,$3
2016-05-31,0.0,$2
2016-08-31,0.0,$2
2016-11-30,0.0,$3
2017-02-28,0.0,$2
2017-05-31,0.0,$2
2017-08-31,0.0,$3
2017-11-30,0.0,$2
2018-02-28,0.0,$2
2018-05-31,0.0,$2
2018-08-31,0.0,$2
2018-11-30,0.0,$1
2019-02-28,0.0,$2
2019-05-31,0.0,$2
2019-08-31,0.0,$2
2019-11-30,0.0,$2
2020-02-29,0.0,$2
2020-05-31,0.0,$2
2020-08-31,0.0,$1
2020-11-30,0.0,$1
2021-02-28,0.0,$1
2021-05-31,0.0,$1
2021-08-31,0.0,$1
2021-11-30,0.0,$1
2022-02-28,0.0,$2
2022-07-08,0.0,$2
